Price,Date,Close,High,Low,Open,Volume
Ticker,,AAPL,AAPL,AAPL,AAPL,AAPL
0,2010-01-04,6.418381690979004,6.433077234841923,6.369496383704876,6.400986892043063,493729600
1,2010-01-05,6.42948055267334,6.465769747557289,6.395590295926477,6.436078733715388,601904800
2,2010-01-06,6.327211856842041,6.454973846527886,6.320613675061903,6.429481271891964,552160000
3,2010-01-07,6.315514087677002,6.35810194747882,6.269627938141667,6.350604014340531,477131200
4,2010-01-08,6.3575005531311035,6.3581007880963805,6.2699275130102485,6.307115652900345,447610800
5,2010-01-11,6.301417827606201,6.388091513614768,6.251632363057832,6.382093168386391,462229600
6,2010-01-12,6.229738235473633,6.291220471564247,6.190750193808205,6.273824870446094,594459600
7,2010-01-13,6.317612171173096,6.326009854509733,6.1211715700547416,6.2342379752958355,605892000
8,2010-01-14,6.28102445602417,6.3119155384556835,6.268728246767605,6.301418833054759,432894000
9,2010-01-15,6.17605447769165,6.346103951820032,6.174254974221382,6.32600949640203,594067600
10,2010-01-19,6.449273109436035,6.453771868410462,6.215343649119593,6.248033429729676,730007600
11,2010-01-20,6.35000467300415,6.464569889643805,6.283124309703247,6.445375580952666,612152800
12,2010-01-21,6.240234851837158,6.397388287013547,6.214442769255696,6.360499666636371,608154400
13,2010-01-22,5.930729866027832,6.223142475736213,5.913035543185216,6.201549227334779,881767600
14,2010-01-25,6.090279579162598,6.1391644838469706,6.0039054227710285,6.073484615431557,1065699600
15,2010-01-26,6.176356315612793,6.409386881972416,6.075586492482457,6.176656232951103,1867110000
16,2010-01-27,6.234538555145264,6.315513827156495,5.984112804164333,6.203647472313461,1722568400
17,2010-01-28,5.97691535949707,6.163160012043322,5.959221038363411,6.1460655255530865,1173502400
18,2010-01-29,5.760079860687256,6.064189192320408,5.705796031258827,6.03059925593936,1245952400
19,2010-02-01,5.840157508850098,5.878246215977669,5.737288248121338,5.769378607536302,749876400
20,2010-02-02,5.874045372009277,5.887841567049598,5.799667887822983,5.875545358850313,698342400
21,2010-02-03,5.975115776062012,6.004207355457277,5.830858749627534,5.853352148032941,615328000
22,2010-02-04,5.759779453277588,5.949322350390838,5.745383425262699,5.900136722187099,757652000
23,2010-02-05,5.862050533294678,5.878246071721271,5.723791825301988,5.777176317786618,850306800
24,2010-02-08,5.82186222076416,5.934628741118,5.818263212586628,5.868948443572817,478270800
25,2010-02-09,5.883944034576416,5.923232006738163,5.840756736383124,5.890841733305046,632886800
26,2010-02-10,5.851851463317871,5.89623881758741,5.826059379681191,5.87494429160159,370361600
27,2010-02-11,5.958319187164307,5.990709848250405,5.820060544664287,5.844653357609174,550345600
28,2010-02-12,6.009604454040527,6.047393226340155,5.863248040797161,5.941524440197623,655468800
29,2010-02-16,6.100179672241211,6.108876875139582,6.043796410596799,6.056392539122307,543737600
30,2010-02-17,6.074686527252197,6.12747037176817,6.0240009026214,6.123871364071996,436396800
31,2010-02-18,6.086082935333252,6.114874598140544,6.0258007542144325,6.047094083464997,422825200
32,2010-02-19,6.048293590545654,6.094180136204051,6.031498622313618,6.053992419620312,415469600
33,2010-02-22,6.010805606842041,6.073187212543278,5.973916975143906,6.068388935507556,390563600
34,2010-02-23,5.9100341796875,6.038096046683881,5.869546550876753,5.998207851969282,575094800
35,2010-02-24,6.018004417419434,6.041397170718063,5.9334289229317605,5.9451257000047875,460566400
36,2010-02-25,6.058189868927002,6.083981951432909,5.904935758862327,5.919631303605027,665126000
37,2010-02-26,6.136768341064453,6.153263395089882,6.058191996534378,6.069588455548256,507460800
38,2010-03-01,6.267828464508057,6.283123445382566,6.161659746439926,6.170656864676158,550093600
39,2010-03-02,6.263628959655762,6.32301097483255,6.230338544560698,6.296018822132903,566546400
40,2010-03-03,6.278024196624756,6.294219729556133,6.236337296884685,6.266328223688183,372052800
41,2010-03-04,6.319413661956787,6.325711926439825,6.257032053110189,6.276527081695683,366041200
42,2010-03-05,6.566539764404297,6.589033163672156,6.436978281146776,6.4462757183526085,899620400
43,2010-03-08,6.570440292358398,6.600730748727153,6.54554754838489,6.598331809931906,429889600
44,2010-03-09,6.68860387802124,6.747985912515801,6.534749878980282,6.547346007445234,920259200
45,2010-03-10,6.743185520172119,6.762380225978724,6.6940006882371055,6.712895076341879,596218000
